,prof_after_women_postproc,cat,cat_named,freq,cluster_kmeans_NKRL,cluster_agglomerative_NKRL,cluster_kmeans_Taiga,cluster_agglomerative_Taiga,cluster_kmeans_Wiki,cluster_agglomerative_Wiki
26,заключенный,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,5144,7.0,0.0,0.0,2.0,12.0,1.0
27,шофер,5,Транспорт и связь,5050,1.0,5.0,2.0,1.0,2.0,1.0
28,студент,8,"Просвещение, наука, искусство, печать",4799,10.0,6.0,8.0,5.0,9.0,2.0
29,механик,1,Промышленность,4749,1.0,5.0,7.0,1.0,1.0,1.0
30,священник,12,Служители культа,4698,12.0,1.0,12.0,3.0,5.0,8.0
31,рядовой,0,Армия,4682,7.0,0.0,3.0,0.0,6.0,1.0
32,инспектор,10,"Государственные учреждения, партийные и общественные организации",4177,11.0,3.0,2.0,5.0,0.0,1.0
33,возчик,5,Транспорт и связь,3885,3.0,5.0,10.0,1.0,7.0,1.0
34,десятник,0,Армия,3591,5.0,5.0,10.0,0.0,7.0,1.0
35,завхоз,6,"Торговля, заготовки и общественное питание",3503,3.0,5.0,2.0,1.0,12.0,1.0
36,инструктор,1,Промышленность,3236,11.0,0.0,3.0,1.0,0.0,1.0
37,техник,1,Промышленность,3223,1.0,6.0,7.0,1.0,1.0,1.0
38,кочегар,1,Промышленность,3221,1.0,5.0,1.0,1.0,2.0,1.0
39,токарь,1,Промышленность,3084,5.0,5.0,7.0,1.0,4.0,1.0
40,агент,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,3046,11.0,3.0,2.0,10.0,12.0,1.0
41,служащий,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,2961,11.0,12.0,2.0,1.0,12.0,1.0
42,экономист,8,"Просвещение, наука, искусство, печать",2903,9.0,6.0,5.0,1.0,11.0,2.0
43,крестьянин,2,Сельское хозяйство,2883,5.0,12.0,0.0,1.0,8.0,4.0
44,тракторист,2,Сельское хозяйство,2957,1.0,2.0,7.0,1.0,10.0,1.0
45,сапожник,1,Промышленность,2785,5.0,5.0,6.0,1.0,7.0,1.0
46,электромонтер,1,Промышленность,2761,3.0,5.0,7.0,1.0,4.0,1.0
